COG14_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_PATHOGEN	p_COMMENSAL	N_PATHOGEN	N_COMMENSAL
Membrane-anchored periplasmic protein YejM, alkaline phosphatase superfamily	0	1	1	NA	COG3083	GC_00001071	1	1	27	19
Acetolactate synthase, small subunit	0	1	1	NA	COG0440	GC_00000675, GC_00003088	1	1	27	19
ABC-type amino acid transport/signal transduction system, periplasmic component/domain	0	1	1	NA	COG0834	GC_00000150, GC_00000410, GC_00000714, GC_00001069, GC_00001474, GC_00001974, GC_00002337, GC_00003491, GC_00003997, GC_00006228, GC_00008183, GC_00008871, GC_00010366, GC_00011107	1	1	27	19
tRNA (Thr-GGU) A37 N-methylase	0	1	1	NA	COG1720	GC_00002211	1	1	27	19
Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit	0	1	1	NA	COG0479	GC_00000952, GC_00001224	1	1	27	19
Uncharacterized membrane protein AbrB, regulator of aidB expression	0	1	1	NA	COG3180	GC_00000397	1	1	27	19
Glutaredoxin 2	0	1	1	NA	COG2999	GC_00000876	1	1	27	19
NH3-dependent NAD+ synthetase	0	1	1	NA	COG0171	GC_00002867	1	1	27	19
Trk K+ transport system, NAD-binding component!!!Uncharacterized membrane protein YbjL, putative transporter	0	1	1	NA	COG0569!!!COG2985	GC_00000671, GC_00001939	1	1	27	19
Glycerol-3-phosphate O-acyltransferase	0	1	1	NA	COG2937	GC_00000293	1	1	27	19
Glutaredoxin	0	1	1	NA	COG0695	GC_00000640, GC_00000777, GC_00001682, GC_00009594, GC_00011055, GC_00011535	1	1	27	19
tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC	0	1	1	NA	COG0009	GC_00000723, GC_00002284	1	1	27	19
16S rRNA G527 N7-methylase RsmG (former glucose-inhibited division protein B)	0	1	1	NA	COG0357	GC_00000280	1	1	27	19
Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein	0	1	1	NA	COG0503	GC_00001017, GC_00005302	1	1	27	19
DNA-directed RNA polymerase, alpha subunit/40 kD subunit	0	1	1	NA	COG0202	GC_00000580	1	1	27	19
3',5'-cyclic AMP phosphodiesterase CpdA	0	1	1	NA	COG1409	GC_00001604	1	1	27	19
Sugar or nucleoside kinase, ribokinase family!!!DNA-binding transcriptional regulator, Lrp family	0	1	1	NA	COG0524!!!COG1522	GC_00000469, GC_00007819	1	1	27	19
Fe-S cluster assembly ATPase SufC	0	1	1	NA	COG0396	GC_00002496	1	1	27	19
Dihydroxyacid dehydratase/phosphogluconate dehydratase	0	1	1	NA	COG0129	GC_00001588, GC_00002902, GC_00005201, GC_00006688	1	1	27	19
Outer membrane receptor for ferrienterochelin and colicins	0	1	1	NA	COG4771	GC_00000178, GC_00000218, GC_00003510, GC_00003924, GC_00004092, GC_00004163, GC_00004171, GC_00004218, GC_00004929, GC_00005420, GC_00005661, GC_00006984	1	1	27	19
Cytochrome c biogenesis factor	0	1	1	NA	COG1138	GC_00002236, GC_00003004	1	1	27	19
Uncharacterized membrane protein YiaA	0	1	1	NA	COG4682	GC_00000346, GC_00003380	1	1	27	19
Cell division protein ZapA, inhibits GTPase activity of FtsZ	0	1	1	NA	COG3027	GC_00000543	1	1	27	19
Ribosomal protein L19	0	1	1	NA	COG0335	GC_00000578	1	1	27	19
Glucose dehydrogenase	0	1	1	NA	COG4993	GC_00002566	1	1	27	19
Undecaprenyl pyrophosphate synthase	0	1	1	NA	COG0020	GC_00000651	1	1	27	19
Uncharacterized membrane protein YqjE	0	1	1	NA	COG5393	GC_00001111	1	1	27	19
Sugar or nucleoside kinase, ribokinase family	0	1	1	NA	COG0524	GC_00000165, GC_00000518, GC_00000750, GC_00002451, GC_00003116, GC_00003318, GC_00003769, GC_00003916, GC_00004168, GC_00004366, GC_00004406, GC_00004453, GC_00004497, GC_00004987, GC_00005418, GC_00005872, GC_00010622	1	1	27	19
Glycine cleavage system regulatory protein	0	1	1	NA	COG2716	GC_00000924	1	1	27	19
Nucleotide-binding universal stress protein,  UspA family	0	1	1	NA	COG0589	GC_00000359, GC_00000622, GC_00001448, GC_00003049, GC_00003079, GC_00003163	1	1	27	19
DNA polymerase III, alpha subunit	0	1	1	NA	COG0587	GC_00002531, GC_00010967	1	1	27	19
C-terminal processing protease CtpA/Prc, contains a PDZ domain	0	1	1	NA	COG0793	GC_00002638	1	1	27	19
Uncharacterized membrane protein YqiK, contains Band7/PHB/SPFH domain	0	1	1	NA	COG2268	GC_00000184	1	1	27	19
Threonine/homoserine efflux transporter RhtA	0	1	1	NA	COG5006	GC_00000297	1	1	27	19
Ribosomal protein L9	0	1	1	NA	COG0359	GC_00000524	1	1	27	19
ABC-type oligopeptide transport system, ATPase component	0	1	1	NA	COG4608	GC_00001177, GC_00002414, GC_00003834	1	1	27	19
ABC-type xylose transport system, periplasmic component	0	1	1	NA	COG4213	GC_00001545	1	1	27	19
Peptidoglycan/xylan/chitin deacetylase, PgdA/CDA1 family	0	1	1	NA	COG0726	GC_00002241, GC_00002686, GC_00005668, GC_00005791, GC_00011001	1	1	27	19
Uncharacterized metal-binding protein YceD, DUF177 family	0	1	1	NA	COG1399	GC_00000809	1	1	27	19
Cell division protein FtsN	0	1	1	NA	COG3087	GC_00002074	1	1	27	19
Cell division protein DedD (periplasmic protein involved in septation)	0	1	1	NA	COG3147	GC_00002000	1	1	27	19
GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants!!!EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant)!!!PAS domain	0	1	1	NA	COG2199!!!COG2200!!!COG2202	GC_00000100	1	1	27	19
Radical SAM superfamily enzyme YgiQ, UPF0313 family	0	1	1	NA	COG1032	GC_00002105	1	1	27	19
Uncharacterized membrane protein YeiB	0	1	1	NA	COG2311	GC_00000501	1	1	27	19
Na+/alanine symporter	0	1	1	NA	COG1115	GC_00002979	1	1	27	19
Uncharacterized membrane protein YqaE, homolog of Blt101, UPF0057 family	0	1	1	NA	COG0401	GC_00000600	1	1	27	19
Ribosome maturation factor RimP	0	1	1	NA	COG0779	GC_00000731	1	1	27	19
Acid stress-induced BolA-like protein IbaG/YrbA, predicted regulator of iron metabolism	0	1	1	NA	COG5007	GC_00000535	1	1	27	19
Regulator of protease activity HflC, stomatin/prohibitin superfamily	0	1	1	NA	COG0330	GC_00000650, GC_00001151, GC_00001535, GC_00004214, GC_00005041, GC_00007588, GC_00011744	1	1	27	19
Predicted epimerase YddE/YHI9, PhzF superfamily	0	1	1	NA	COG0384	GC_00000194	1	1	27	19
Alpha-glucosidase, glycosyl hydrolase family GH31	0	1	1	NA	COG1501	GC_00000482, GC_00003929, GC_00006163, GC_00006880	1	1	27	19
Sulfatase maturation enzyme AslB, radical SAM superfamily	0	1	1	NA	COG0641	GC_00002437, GC_00002536, GC_00002909, GC_00008841	1	1	27	19
Acetyl-CoA carboxylase beta subunit	0	1	1	NA	COG0777	GC_00000743	1	1	27	19
Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I)	0	1	1	NA	COG1143	GC_00000556, GC_00002199, GC_00003849, GC_00011957	1	1	27	19
FKBP-type peptidyl-prolyl cis-trans isomerase	0	1	1	NA	COG0545	GC_00001244, GC_00001248	1	1	27	19
Phosphoenolpyruvate-protein kinase (PTS system EI component in bacteria)	0	1	1	NA	COG1080	GC_00001566	1	1	27	19
Acetate kinase	0	1	1	NA	COG0282	GC_00000850, GC_00002454, GC_00007187	1	1	27	19
Nucleoside phosphorylase	0	1	1	NA	COG0775	GC_00000883, GC_00001664	1	1	27	19
Predicted branched-chain amino acid permease (azaleucine resistance)	0	1	1	NA	COG1296	GC_00001352	1	1	27	19
Chromosome condensin MukBEF, ATPase and DNA-binding subunit MukB [Escherichia coli str. K-12 substr. MG1655	0	1	1	NA	COG3096	GC_00002968	1	1	27	19
Sulfate adenylyltransferase subunit 1, EFTu-like GTPase family	0	1	1	NA	COG2895	GC_00002467	1	1	27	19
Cys-tRNA(Pro) deacylase, prolyl-tRNA editing enzyme YbaK/EbsC	0	1	1	NA	COG2606	GC_00002121, GC_00003102	1	1	27	19
Oligoribonuclease (3'-5' exoribonuclease)	0	1	1	NA	COG1949	GC_00001105	1	1	27	19
Uncharacterized protein, possibly involved in glyoxylate utilization	0	1	1	NA	COG3257	GC_00002787	1	1	27	19
Ribosomal 50S subunit-recycling heat shock protein, contains S4 domain	0	1	1	NA	COG1188	GC_00001192	1	1	27	19
Ribose/xylose/arabinose/galactoside ABC-type transport system, permease component	0	1	1	NA	COG1172	GC_00000276, GC_00000375, GC_00001968, GC_00003186, GC_00003215, GC_00003758, GC_00003810, GC_00004050, GC_00004201, GC_00004233, GC_00004471, GC_00005956, GC_00006225, GC_00007245, GC_00007313, GC_00012057	1	1	27	19
Ethanolamine utilization cobalamin adenosyltransferase	0	1	1	NA	COG4812	GC_00001911	1	1	27	19
Phosphoribulokinase	0	1	1	NA	COG3954	GC_00001671	1	1	27	19
RecG-like helicase	0	1	1	NA	COG1200	GC_00002683	1	1	27	19
Ascorbate-specific PTS system EIIC-type component UlaA	0	1	1	NA	COG3037	GC_00000372, GC_00005082, GC_00005507	1	1	27	19
Membrane carboxypeptidase/penicillin-binding protein	0	1	1	NA	COG5009	GC_00002829	1	1	27	19
Exonuclease V gamma subunit	0	1	1	NA	COG1330	GC_00002788	1	1	27	19
Uncharacterized conserved protein YhbP, UPF0306 family	0	1	1	NA	COG3787	GC_00002187	1	1	27	19
Isocitrate lyase	0	1	1	NA	COG2224	GC_00001198	1	1	27	19
ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component	0	1	1	NA	COG0444	GC_00001630, GC_00002366, GC_00002394, GC_00002544, GC_00003862, GC_00004508, GC_00004517	1	1	27	19
Carbamoylphosphate synthase small subunit	0	1	1	NA	COG0505	GC_00001678	1	1	27	19
Isoaspartyl peptidase or L-asparaginase, Ntn-hydrolase superfamily	0	1	1	NA	COG1446	GC_00000132, GC_00009946	1	1	27	19
Ribosomal protein S1!!!Transcriptional accessory protein Tex/SPT6	0	1	1	NA	COG0539!!!COG2183	GC_00000563	1	1	27	19
DNA-binding transcriptional regulator, CsgD family	0	1	1	NA	COG2771	GC_00000779, GC_00003370, GC_00003808, GC_00004172, GC_00004396	1	1	27	19
Delta-aminolevulinic acid dehydratase, porphobilinogen synthase	0	1	1	NA	COG0113	GC_00001179	1	1	27	19
Replicative DNA helicase	0	1	1	NA	COG0305	GC_00001568, GC_00005066, GC_00007529, GC_00007599, GC_00007737, GC_00007846, GC_00009663, GC_00012074	1	1	27	19
Ethanolamine utilization protein EutL, ethanolamine utilization microcompartment shell protein	0	1	1	NA	COG4816	GC_00002308, GC_00006517, GC_00007181	1	1	27	19
Selenocysteine-specific translation elongation factor	0	1	1	NA	COG3276	GC_00002913	1	1	27	19
NAD/NADP transhydrogenase beta subunit	0	1	1	NA	COG1282	GC_00001035	1	1	27	19
Site-specific recombinase XerC	0	1	1	NA	COG4973	GC_00001781	1	1	27	19
tRNA A37 methylthiotransferase MiaB	0	1	1	NA	COG0621	GC_00001256, GC_00001281	1	1	27	19
6-phosphogluconate dehydrogenase	0	1	1	NA	COG0362	GC_00002903	1	1	27	19
Anaerobic selenocysteine-containing dehydrogenase!!!Predicted molibdopterin-dependent oxidoreductase YjgC	0	1	1	NA	COG0243!!!COG3383	GC_00002344, GC_00002804	1	1	27	19
6-pyruvoyl-tetrahydropterin synthase	0	1	1	NA	COG0720	GC_00000316	1	1	27	19
Acyl-[acyl carrier protein]--UDP-N-acetylglucosamine O-acyltransferase	0	1	1	NA	COG1043	GC_00000947	1	1	27	19
Autonomous glycyl radical cofactor GrcA	0	1	1	NA	COG3445	GC_00001582	1	1	27	19
Methylphosphotriester-DNA--protein-cysteine methyltransferase (N-terminal fragment of Ada), contains Zn-binding and two AraC-type DNA-binding domains	0	1	1	NA	COG2169	GC_00001364	1	1	27	19
H+/Cl- antiporter ClcA	0	1	1	NA	COG0038	GC_00001964, GC_00002738, GC_00003128, GC_00009763	1	1	27	19
Pyruvate dehydrogenase complex, dehydrogenase (E1) component	0	1	1	NA	COG2609	GC_00001343	1	1	27	19
Divalent metal cation (Fe/Co/Zn/Cd) transporter	0	1	1	NA	COG0053	GC_00001577	1	1	27	19
Curli biogenesis system outer membrane secretion channel CsgG	0	1	1	NA	COG1462	GC_00001154	1	1	27	19
16S rRNA G1207 methylase RsmC	0	1	1	NA	COG2813	GC_00000407, GC_00000454	1	1	27	19
Endogenous inhibitor of DNA gyrase, YacG/DUF329 family	0	1	1	NA	COG3024	GC_00000970	1	1	27	19
Riboflavin synthase alpha chain	0	1	1	NA	COG0307	GC_00001257	1	1	27	19
Carbonic anhydrase	0	1	1	NA	COG0288	GC_00001466, GC_00003912	1	1	27	19
Lipopolysaccharide biosynthesis regulator YciM, contains six TPR domains and a predicted metal-binding C-terminal domain	0	1	1	NA	COG2956	GC_00001056	1	1	27	19
Molecular chaperone, HSP90 family	0	1	1	NA	COG0326	GC_00000326, GC_00006930	1	1	27	19
Osmotically-inducible protein OsmY, contains BON domain	0	1	1	NA	COG2823	GC_00000288, GC_00001093	1	1	27	19
Fe-S-cluster formation regulator IscX/YfhJ	0	1	1	NA	COG2975	GC_00001220	1	1	27	19
FoF1-type ATP synthase assembly protein I	0	1	1	NA	COG3312	GC_00000840	1	1	27	19
Cell division inhibitor SulA, prevents FtsZ ring assembly	0	1	1	NA	COG5404	GC_00001503	1	1	27	19
Uncharacterized membrane protein YgcG, contains a TPM-fold domain	0	1	1	NA	COG1512	GC_00003603, GC_00004238, GC_00004289, GC_00004528, GC_00004924, GC_00005439, GC_00005837, GC_00011757	1	1	27	19
Uncharacterized conserved protein YeaC, DUF1315 family	0	1	1	NA	COG3139	GC_00002167	1	1	27	19
ABC-type amino acid transport system, permease component	0	1	1	NA	COG0765	GC_00000249, GC_00000277, GC_00000312, GC_00000417, GC_00000725, GC_00003475	1	1	27	19
Isocitrate dehydrogenase	0	1	1	NA	COG0538	GC_00000068, GC_00011150	1	1	27	19
Ribosomal protein S15P/S13E	0	1	1	NA	COG0184	GC_00000940	1	1	27	19
Permease of the drug/metabolite transporter (DMT) superfamily	0	1	1	NA	COG0697	GC_00001340, GC_00001603, GC_00001764, GC_00002175, GC_00002761, GC_00002808, GC_00002816, GC_00003364, GC_00007446	1	1	27	19
Intracellular septation protein A	0	1	1	NA	COG2917	GC_00001499	1	1	27	19
2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'- or 3'-nucleotidase, 5'-nucleotidase family	0	1	1	NA	COG0737	GC_00002559, GC_00003141, GC_00004293, GC_00004573, GC_00004579	1	1	27	19
Ribosomal protein L22	0	1	1	NA	COG0091	GC_00000665	1	1	27	19
Ribosomal protein S12	0	1	1	NA	COG0048	GC_00000981	1	1	27	19
Uncharacterized conserved protein YeaH/YhbH, required for sporulation, DUF444 family	0	1	1	NA	COG2718	GC_00001786	1	1	27	19
5-hydroxyisourate hydrolase (purine catabolism), transthyretin-related family	0	1	1	NA	COG2351	GC_00001777	1	1	27	19
Uncharacterized membrane protein YadS	0	1	1	NA	COG2855	GC_00001157	1	1	27	19
5'-3' exonuclease!!!DNA polymerase I - 3'-5' exonuclease and polymerase domains	0	1	1	NA	COG0258!!!COG0749	GC_00000387	1	1	27	19
Uncharacterized membrane protein, DUF441 family	0	1	1	NA	COG2707	GC_00003066, GC_00010411	1	1	27	19
dsDNA-binding SOS-regulon protein, induction by DNA damage requires cAMP	0	1	1	NA	COG3141	GC_00000829	1	1	27	19
Putative GTP cyclohydrolase 1 type 2, NIF3 family	0	1	1	NA	COG0327	GC_00001122, GC_00008614	1	1	27	19
Triphosphoribosyl-dephospho-CoA synthetase	0	1	1	NA	COG1767	GC_00000358	1	1	27	19
Bacterial nucleoid DNA-binding protein	0	1	1	NA	COG0776	GC_00000577, GC_00000754, GC_00000793, GC_00000795	1	1	27	19
Putative Mn2+ efflux pump MntP	0	1	1	NA	COG1971	GC_00001019	1	1	27	19
Chromosome condensin MukBEF, MukE localization factor	0	1	1	NA	COG3095	GC_00001645	1	1	27	19
Uncharacterized conserved protein YgiB, involved in bioifilm formation, UPF0441/DUF1190 family	0	1	1	NA	COG5463	GC_00000831, GC_00002854	1	1	27	19
Uncharacterized membrane protein YqgA, affects biofilm formation	0	1	1	NA	COG1811	GC_00002603	1	1	27	19
Broad specificity polyphosphatase and 5'/3'-nucleotidase SurE	0	1	1	NA	COG0496	GC_00001045	1	1	27	19
ABC-type metal ion transport system, periplasmic component/surface antigen	0	1	1	NA	COG1464	GC_00001600, GC_00002238	1	1	27	19
Thiamine biosynthesis protein ThiC	0	1	1	NA	COG0422	GC_00002614	1	1	27	19
Chromosome partitioning ATPase, Mrp family, contains Fe-S cluster	0	1	1	NA	COG0489	GC_00000856	1	1	27	19
Autotransporter translocation and assembly factor TamB	0	1	1	NA	COG2911	GC_00003000, GC_00003028, GC_00006806, GC_00006974, GC_00007209, GC_00007694, GC_00011197	1	1	27	19
Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase!!!Alcohol dehydrogenase, class IV	0	1	1	NA	COG1012!!!COG1454	GC_00001553	1	1	27	19
Soluble lytic murein transglycosylase and related regulatory proteins (some contain LysM/invasin domains)	0	1	1	NA	COG0741	GC_00001601, GC_00001997, GC_00002030, GC_00004073, GC_00004501, GC_00005206, GC_00006557, GC_00007400, GC_00007556, GC_00007810, GC_00007862, GC_00008524, GC_00008775, GC_00009050, GC_00009447, GC_00009693, GC_00010334, GC_00010746, GC_00010795, GC_00011065, GC_00011248, GC_00011664, GC_00011781, GC_00012163, GC_00012200	1	1	27	19
Beta-phosphoglucomutase or related phosphatase, HAD superfamily	0	1	1	NA	COG0637	GC_00000222, GC_00000306, GC_00001949, GC_00002251, GC_00003232, GC_00007415, GC_00009712, GC_00011175, GC_00011489	1	1	27	19
Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II	0	1	1	NA	COG0491	GC_00001995, GC_00002546, GC_00004729, GC_00005152, GC_00010083	1	1	27	19
L-cysteine desulfidase	0	1	1	NA	COG3681	GC_00002833	1	1	27	19
Predicted oxidoreductase	0	1	1	NA	COG4989	GC_00002192	1	1	27	19
FoF1-type ATP synthase, delta subunit	0	1	1	NA	COG0712	GC_00001025	1	1	27	19
16S rRNA U516 pseudouridylate synthase RsuA and related 23S rRNA U2605, pseudouridylate synthases	0	1	1	NA	COG1187	GC_00000859, GC_00002107, GC_00002289, GC_00002417	1	1	27	19
Pyridoxal/pyridoxine/pyridoxamine kinase	0	1	1	NA	COG2240	GC_00001880, GC_00002273	1	1	27	19
Catalase	0	1	1	NA	COG0753	GC_00002881	1	1	27	19
Uncharacterized conserved protein YaeQ, suppresses RfaH defect	0	1	1	NA	COG4681	GC_00002115	1	1	27	19
Cell division protein FtsX	0	1	1	NA	COG2177	GC_00001061	1	1	27	19
Membrane glycosyltransferase	0	1	1	NA	COG2943	GC_00001771	1	1	27	19
Sigma54-dependent transcription regulator containing an AAA-type ATPase domain and a DNA-binding domain	0	1	1	NA	COG4650	GC_00003005	1	1	27	19
Ethanolamine ammonia-lyase, small subunit	0	1	1	NA	COG4302	GC_00000215	1	1	27	19
Lipoprotein-anchoring transpeptidase ErfK/SrfK!!!LysM repeat	0	1	1	NA	COG1376!!!COG1388	GC_00002127	1	1	27	19
Lysyl-tRNA synthetase (class II)	0	1	1	NA	COG1190	GC_00000032, GC_00008936	1	1	27	19
Outer membrane lipoprotein-sorting protein	0	1	1	NA	COG2834	GC_00000715, GC_00004822, GC_00005777	1	1	27	19
Predicted ATP-dependent endonuclease of the OLD family, contains P-loop ATPase and TOPRIM domains	0	1	1	NA	COG3593	GC_00002408	1	1	27	19
Nucleoside-diphosphate-sugar epimerase	0	1	1	NA	COG0451	GC_00000133, GC_00001279, GC_00001625, GC_00001784, GC_00004680, GC_00005219, GC_00009518, GC_00010272	1	1	27	19
Heme/copper-type cytochrome/quinol oxidase, subunit 4	0	1	1	NA	COG3125	GC_00001357	1	1	27	19
5-keto 4-deoxyuronate isomerase	0	1	1	NA	COG3717	GC_00001941	1	1	27	19
Arginine exporter protein ArgO	0	1	1	NA	COG1279	GC_00002033	1	1	27	19
Thiol:disulfide interchange protein	0	1	1	NA	COG4232	GC_00002929	1	1	27	19
Uracil phosphoribosyltransferase	0	1	1	NA	COG0035	GC_00000747	1	1	27	19
Biopolymer transport protein ExbD	0	1	1	NA	COG0848	GC_00000530, GC_00000945	1	1	27	19
Excinuclease UvrABC ATPase subunit	0	1	1	NA	COG0178	GC_00001905	1	1	27	19
Aldo/keto reductase, related to diketogulonate reductase	0	1	1	NA	COG0656	GC_00000412, GC_00001698, GC_00002537, GC_00003753, GC_00004021	1	1	27	19
Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains	0	1	1	NA	COG0449	GC_00002116	1	1	27	19
Phosphoglucomutase	0	1	1	NA	COG0033	GC_00002702	1	1	27	19
LPS O-antigen chain length determinant protein, WzzB/FepE family	0	1	1	NA	COG3765	GC_00000183, GC_00001743, GC_00003340, GC_00009352	1	1	27	19
Leu/Phe-tRNA-protein transferase	0	1	1	NA	COG2360	GC_00001850	1	1	27	19
Ca2+/Na+ antiporter	0	1	1	NA	COG0530	GC_00002345	1	1	27	19
Sulfur relay (sulfurtransferase) complex TusBCD TusD component, DsrE family	0	1	1	NA	COG1553	GC_00001480, GC_00002627	1	1	27	19
DNA polymerase III, epsilon subunit or related 3'-5' exonuclease	0	1	1	NA	COG0847	GC_00000069, GC_00000302, GC_00001239, GC_00002419, GC_00004642, GC_00004857, GC_00006124, GC_00006241, GC_00006652, GC_00006653, GC_00006721, GC_00008415, GC_00008475, GC_00008903, GC_00010271, GC_00010433	1	1	27	19
Phospholipid biosynthesis protein PlsY, probable glycerol-3-phosphate acyltransferase	0	1	1	NA	COG0344	GC_00000659	1	1	27	19
Outer membrane murein-binding lipoprotein Lpp	0	1	1	NA	COG4238	GC_00000619, GC_00001456, GC_00002724	1	1	27	19
Uncharacterized conserved protein PhnB, glyoxalase superfamily	0	1	1	NA	COG2764	GC_00002634	1	1	27	19
Sulfur relay (sulfurtransferase) complex TusC component, DsrF/TusC family	0	1	1	NA	COG2923	GC_00002413	1	1	27	19
Catalase (peroxidase I)	0	1	1	NA	COG0376	GC_00002161, GC_00005971	1	1	27	19
NADPH-dependent ferric siderophore reductase, contains FAD-binding and SIP domains	0	1	1	NA	COG2375	GC_00002585	1	1	27	19
FoF1-type ATP synthase, beta subunit	0	1	1	NA	COG0055	GC_00000645	1	1	27	19
Tryptophanyl-tRNA synthetase	0	1	1	NA	COG0180	GC_00001692	1	1	27	19
LysM repeat!!!Septal ring factor EnvC, activator of murein hydrolases AmiA and AmiB	0	1	1	NA	COG1388!!!COG4942	GC_00002007	1	1	27	19
Undecaprenyl pyrophosphate phosphatase UppP	0	1	1	NA	COG1968	GC_00001899	1	1	27	19
Glycine cleavage system H protein (lipoate-binding)	0	1	1	NA	COG0509	GC_00001353	1	1	27	19
Ferredoxin!!!Uncharacterized conserved protein YcbX, contains MOSC and Fe-S domains	0	1	1	NA	COG0633!!!COG3217	GC_00002712	1	1	27	19
Phosphotransferase system, mannose/fructose-specific component IIA	0	1	1	NA	COG2893	GC_00002728, GC_00003479, GC_00003901, GC_00006733, GC_00007220	1	1	27	19
DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains	0	1	1	NA	COG2197	GC_00000303, GC_00000315, GC_00000887, GC_00000980, GC_00001053, GC_00001778, GC_00001955, GC_00001977, GC_00002135, GC_00003087, GC_00003357, GC_00003447, GC_00003452, GC_00003636, GC_00003803, GC_00005474, GC_00005599, GC_00006146, GC_00006701, GC_00006792, GC_00008937, GC_00009204, GC_00009929, GC_00011592, GC_00011961	1	1	27	19
Endonuclease IV	0	1	1	NA	COG0648	GC_00002142, GC_00004523	1	1	27	19
Outer membrane protein (porin)	0	1	1	NA	COG3203	GC_00000148, GC_00002114, GC_00002432, GC_00002904, GC_00003391, GC_00003805, GC_00004739, GC_00004816, GC_00004831, GC_00006056, GC_00006279, GC_00007211, GC_00007322, GC_00008885, GC_00010332	1	1	27	19
Predicted acylesterase/phospholipase RssA, containd patatin domain	0	1	1	NA	COG1752	GC_00001285, GC_00003614	1	1	27	19
Uncharacterized membrane protein YcfT	0	1	1	NA	COG4763	GC_00000450	1	1	27	19
Uncharacterized conserved protein, phosphatidylethanolamine-binding protein (PEBP) family	0	1	1	NA	COG1881	GC_00001897, GC_00003733	1	1	27	19
